名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
憩趣园,广东,东莞,东莞,0769,,金朗中路,金丽路41-43号附近,景点,公园/广场,113.942612,22.943361
东莞青旅,广东,东莞,东莞,0769,83912166,中元街,常平镇振兴三街112号,景点,旅行社,113.992021,22.968321
国翔商旅,广东,东莞,东莞,0769,81558558,长安镇区,东大路4号,景点,旅行社,113.77646,22.795779
王氏大宗祠,广东,东莞,东莞,0769,,南栅,东平路南栅学校西北侧,景点,宗教,113.691887,22.787441
麒麟公园,广东,东莞,东莞,0769,,大宁,宁馨北路前段,景点,公园/广场,113.721405,22.812088
京山公园,广东,东莞,茶山镇,0769,,石龙镇,茶山镇京山东路与荼京路交叉口西100米,景点,公园/广场,113.852409,23.086695
长山头公园,广东,东莞,东莞,0769,,清溪汽车客运站,清溪镇康怡路179号,景点,公园/广场,114.128501,22.852786
黄旗广场,广东,东莞,东莞,0769,,旗峰广场,美峰路,景点,广场,113.768219,23.023191
文武庙,广东,东莞,东坑镇,0769,,东坑镇,生态园大道,景点,宗教,113.920151,22.985481
侯王古庙,广东,东莞,东莞,0769,,北栅,东坊路与凤阳路交叉口西北100米,景点,宗教,113.721535,22.834541
袁氏宗祠,广东,东莞,石碣镇,0769,,石碣镇中心城区,滨江东路与滨江中路交叉口东南150米石碣公园附近,景点,宗教,113.806129,23.090761
南湖国旅,广东,东莞,东莞,0769,22112222,名汇城/人民公园,新芬路36号,景点,旅行社,113.754501,23.037151
苏坑公园,广东,东莞,东莞,0769,,常平镇,苏坑村委会附近,景点,公园/广场,113.95829,22.965975
松岗公园,广东,东莞,东莞,0769,,清溪汽车客运站,集才街17号附近,景点,公园/广场,114.157933,22.855315
光大交通旅行社,广东,东莞,东莞,0769,,厚街大润发,教育路4号,景点,旅行社,113.660389,22.933868
高埗大桥旧址,广东,东莞,东莞,0769,,石美,沿江南路光大江与城南侧约60米,景点,古代遗迹,113.731125,23.06385
侏罗纪公园,广东,东莞,东莞,0769,,新大新百货,环市北路3号塘厦观光公园内,景点,公园/广场,114.092003,22.812626
大朗村文化活动中心,广东,东莞,东莞,0769,,中心广场/华凯广场,胜和大朗新村九巷1号之一号,景点,展览馆,113.746475,23.022049
四村文化中心,广东,东莞,石碣镇,0769,,石碣镇中心城区,上垅路,景点,展览馆,113.799385,23.089558
乐善庵,广东,东莞,东莞,0769,,名汇城/人民公园,万寿路60号,景点,宗教,113.75843,23.044357
上一村广场,广东,东莞,石碣镇,0769,,石碣镇中心城区,同德路西5号,景点,广场,113.810966,23.096443
龙头陈屋村,广东,东莞,茶山镇,0769,,茶山镇,茶山镇,景点,古村古镇,113.92704,23.04413
金山岭天后庙,广东,东莞,东莞,0769,,长盛广场,升平北路115号附近,景点,宗教,113.935181,22.923618
云庵李公祠,广东,东莞,东莞,0769,,长安镇区,锦源路二坊1巷3号,景点,宗教,113.80851,22.797195
荔枝公园,广东,东莞,东坑镇,0769,,东坑镇中心城区,大朗镇,景点,公园/广场,113.939323,22.994879
大朗园艺街,广东,东莞,东莞,0769,,长盛广场,迎宾路西50米,景点,观光街区,113.930504,22.925106
横岗水库,广东,东莞,东莞,0769,85819588,厚街镇,厚街镇湖景大道,景点,现代建筑,113.73009,22.915501
观音宫,广东,东莞,东莞,0769,,景湖湾畔/新基,杨柳路,景点,宗教,113.726074,23.004026
陈伯陶史迹陈列馆,广东,东莞,东莞,0769,,中堂镇,凤冲村二十二巷2号,景点,博物馆,113.699131,23.098191
莫氏宗祠,广东,东莞,东莞,0769,,高埗镇中心城区,振兴东六横路60号,景点,宗教,113.725204,23.081108
杜滋龄美术馆,广东,东莞,东莞,0769,,东纵路,运河东三路80号商业街25号,景点,美术馆,113.779134,23.040194
基督教福音堂,广东,东莞,东莞,0769,,名汇城/人民公园,万寿路仁和里四巷1号,景点,宗教,113.756577,23.044407
水北公园,广东,东莞,东莞,0769,,厚街大润发,涌口新中路2号,景点,公园/广场,113.6455,22.924791
关帝古庙,广东,东莞,东莞,0769,,高埗镇中心城区,高埗镇西联新村163号,景点,宗教,113.724937,23.083504
桥头广场,广东,东莞,东莞,0769,,广隆百货,桥光大道桥头段603号,景点,广场,114.086594,23.011353
城市风景街,广东,东莞,东莞,0769,,城市风景街,南城区莞太路新基路段南城步行街斜对面,景点,步行街,113.737907,23.001646
东太村文化广场,广东,东莞,麻涌镇,0769,,麻涌镇中心城区,麻涌镇东太村太步路,景点,公园/广场,113.589729,23.048971
高埗广场,广东,东莞,东莞,0769,,高埗镇中心城区,高埗镇广场北路与莞潢南路,景点,广场,113.746629,23.088014
槌子山公园,广东,东莞,东莞,0769,,东宝路,主山槌子街,景点,公园/广场,113.783485,23.041433
博艺美术馆,广东,东莞,东莞,0769,87777780,永盛大街,政通路23号,景点,美术馆,114.136589,22.739515
新庄公园,广东,东莞,东莞,0769,,厚街大润发,湖光路A47号,景点,公园/广场,113.656601,22.930534
涌溪古庙,广东,东莞,东莞,0769,,长安万达广场,麻石路前程小学西南侧约30米,景点,宗教,113.825752,22.800673
东城风情步行街,广东,东莞,东莞,0769,22340777,雍华庭,莞城街道东城西路101号,景点,步行街,113.769623,23.031963
东沙公祠,广东,东莞,东莞,0769,,西湖,畔湖中街石龙西湖社区公园(畔湖中街)南侧约40米,景点,人文古迹,113.863419,23.093048
汾溪河畔公园,广东,东莞,东莞,0769,,牌楼基/大莲塘,汾溪路391号,景点,公园/广场,113.704483,23.049809
皖江书画院,广东,东莞,东莞,0769,23063105,花园新村,运河东一路爱迪楼西侧约80米,景点,美术馆,113.756004,23.052614
芙蓉寺,广东,东莞,东莞,0769,,黄江镇,芙蓉路,景点,宗教,114.033592,22.877705
圣荔园,广东,东莞,东莞,0769,,横沥镇,田饶步生态路,景点,公园/广场,114.025848,23.037691
东莞市国际会展中心,广东,东莞,东莞,0769,,名牌商业街/体育路,鸿福路国际会展中心恐龙主题乐园厅,景点,展览馆,113.759277,23.01407
凤岗南门山森林公园,广东,东莞,东莞,0769,82166028,凤岗镇,凤岗镇东升工业二路,景点,森林公园,114.195517,22.753337
湖心公园,广东,东莞,东莞,0769,,横沥镇中心城区,新城工业区振新路1号,景点,公园/广场,113.976463,23.027582
