名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
华美空间d-house,福建,厦门,厦门,0592,,湖里大道,华昌路134号,景点,更多景点/周边游,118.100556,24.513265
中山华侨公园,福建,厦门,厦门,0592,,翔安区,金海街道翔安隧道东50米,景点,公园/广场,118.217789,24.549685
去啊旅行,福建,厦门,厦门,0592,8334334,中山路/轮渡,鹭江道96号109,景点,更多景点/周边游,118.073788,24.456518
美往向导,福建,厦门,厦门,0592,4001781187;136****1187,中山路/轮渡,鹭江道100号,景点,旅行社,118.074302,24.454736
鼓浪屿古浪中国漆画院,福建,厦门,鼓浪屿,0592,,鼓浪屿,金丰南大街大板城第一幢第一层103-107号房鼓浪屿内,景点,美术馆,118.06176,24.446218
陨石博物馆,福建,厦门,厦门,0592,8021818,白鹭洲公园,筼筜街道湖滨中路100号之二,景点,博物馆,118.097687,24.477776
杏林社区文化活动中心,福建,厦门,厦门,0592,,园博苑,苑东路266号,景点,展览馆,118.060715,24.574753
资济殿,福建,厦门,厦门,0592,,金尚/祥店,金尚小区后坑篮球场,景点,人文古迹,118.153702,24.494081
建材步行街,福建,厦门,厦门,0592,,海沧商业圈,沧林路348号,景点,步行街,118.036993,24.491623
杰熙帆船游艇,福建,厦门,厦门,0592,185****0966,会展中心,环岛东路1067号,景点,游艇,118.192521,24.472038
同安电影博物馆,福建,厦门,厦门,0592,,汽车站/城南,环城南路985号,景点,博物馆,118.157639,24.717148
南寿宫,福建,厦门,厦门,0592,,中山路/轮渡,中山路416号3楼,景点,人文古迹,118.084903,24.455273
万应宫,福建,厦门,厦门,0592,,阿罗海城市广场,兴港路2379号西南50米,景点,人文古迹,118.025889,24.487349
萧坑社珠山宫,福建,厦门,厦门,0592,,阿罗海城市广场,兴港路2369号,景点,宗教,118.025881,24.487397
西亭古庙,福建,厦门,厦门,0592,,同安老城区/钟楼,城西西安路39号金安大厦1层,景点,宗教,118.149226,24.729876
禅念堂,福建,厦门,厦门,0592,188****5093,新店,福祥路43号之一,景点,人文古迹,118.245726,24.603846
延平戏院旧址,福建,厦门,鼓浪屿,0592,,鼓浪屿,鼓浪屿市场路6号,景点,古代遗迹,118.070549,24.44405
莲塘别墅,福建,厦门,厦门,0592,,海沧区,昌海路莲塘别墅,景点,古村古镇,117.979713,24.462912
许家园,福建,厦门,鼓浪屿,0592,,鼓浪屿,鼓浪屿鹿礁路36-38号,景点,步行街,118.073479,24.443735
曾溪水库,福建,厦门,厦门,0592,,翔安区,新圩镇凤路村,景点,现代建筑,118.293739,24.736555
周末旅行,福建,厦门,厦门,0592,5203162,仙岳路沿线,筼筜街道仙岳里24号5楼,景点,旅行社,118.104714,24.489844
厦航国旅,福建,厦门,厦门,0592,5072219,环岛路沿线,湖光路101号A26店面,景点,旅行社,118.113469,24.479289
康辉旅游,福建,厦门,厦门,0592,8589532;189****1488,石鼓路/集美学村,乐海南里301号,景点,旅行社,118.10928,24.583571
阅游天下旅游网,福建,厦门,厦门,0592,,环岛路沿线,文清路28号,景点,旅行社,118.128103,24.462933
天马山,福建,厦门,厦门,0592,,集美区,侨英街道天马山,景点,更多景点/周边游,118.104271,24.62281
天竺山森林公园,福建,厦门,厦门,0592,6311965,海沧区,东孚街道天竺山旅游风景区西门游客中心,景点,森林公园,117.917175,24.59997
