名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
潢南河带状公园,辽宁,沈阳,新民市,024,,新民市其他,中兴东路,景点,公园/广场,122.8517,42.002064
沈阳乐游国际旅行社有限公司,辽宁,沈阳,沈阳,024,,太原街,南京北街109号和泰运恒国际A座1811室,景点,旅行社,123.412519,41.798732
海华国际旅行社,辽宁,沈阳,沈阳,024,23415171;23492135,和平区,迎春北街,景点,旅行社,123.352522,41.701345
锡伯族家庙,辽宁,沈阳,沈阳,024,,西塔/北市场,皇寺路178号,景点,宗教,123.426689,41.807827
辽宁总站,辽宁,沈阳,沈阳,024,,西塔/北市场,总站路100号,景点,人文古迹,123.426773,41.810913
沈阳旅行服务段,辽宁,沈阳,沈阳,024,,南市/马路湾,新兴街15号,景点,旅行社,123.405617,41.777197
中国国旅（辽宁）国际旅行社,辽宁,沈阳,沈阳,024,62106069,太原街,南京南街34号沈铁职工文化活动中心2楼221室,景点,旅行社,123.402502,41.78709
光大国际旅行社,辽宁,沈阳,沈阳,024,23853777,太原街,南京南街34号沈铁文化活动楼203,景点,旅行社,123.402698,41.78716
东洋拓殖株式会社奉天支店旧址,辽宁,沈阳,沈阳,024,,太原街,中山路101甲,景点,古代遗迹,123.411827,41.796745
奉天警察署旧址,辽宁,沈阳,沈阳,024,,太原街,中山路106号,景点,古代遗迹,123.409813,41.797848
铁道国际旅行社,辽宁,沈阳,沈阳,024,23929981;23929979,南湖公园/三好街,文化路19号金科大厦1层,景点,旅行社,123.426397,41.771177
平安座旧址,辽宁,沈阳,沈阳,024,,太原街,民主路72号,景点,古代遗迹,123.398911,41.788071
清风海岸旅行社,辽宁,沈阳,沈阳,024,,西塔/北市场,市府大路55号年华国际大厦0725号,景点,旅行社,123.415067,41.804091
城建林,辽宁,沈阳,沈阳,024,,南湖公园/三好街,文体西路137号,景点,自然风光,123.39951,41.763688
宝中旅游,辽宁,沈阳,沈阳,024,,南市/马路湾,南四经街,景点,旅行社,123.424422,41.781981
领事馆绿地,辽宁,沈阳,沈阳,024,,南市/马路湾,十三纬路46号,景点,公园/广场,123.425491,41.784836
龙游旅行社有限公司,辽宁,沈阳,沈阳,024,,西塔/北市场,哈尔滨路58号房联大厦822号,景点,旅行社,123.425113,41.812273
康辉国际旅行社,辽宁,沈阳,沈阳,024,151****6281,于洪新城,南六中路111号,景点,旅行社,123.331233,41.742283
